rating,quality,adjusted_rating,distance_from_center,adults,free_cancellation,review,Number of Beds
8.5,3.0,0.3229746781400909,2.9,2.0,0.0,801.0,1.0
8.2,3.0,0.6923901596728745,0.8,4.0,0.0,1780.0,2.0
7.3,2.0,0.7112795650977676,4.3,4.0,0.0,2054.0,4.0
7.6,2.0,1.6598389040160149,3.2,5.0,0.0,4604.0,3.0
9.5,6.0,0.009463677504435358,9.3,5.0,0.0,21.0,14.0
8.7,4.0,1.296708822329535,1.1,3.0,0.0,3142.0,2.0
8.2,3.0,0.5784180715918902,4.1,3.0,0.0,1487.0,2.0
8.2,3.0,0.059125451837234236,10.8,2.0,1.0,152.0,1.0
7.9,2.0,0.6558162481143802,4.1,5.0,0.0,1750.0,3.0
8.4,3.0,2.680511939887859,5.2,2.0,0.0,6727.0,1.0
8.6,4.0,1.125556198590173,1.8,3.0,0.0,2759.0,1.0
8.3,3.0,1.3823752644611635,4.0,2.0,0.0,3511.0,1.0
7.9,2.0,1.2175697086420691,1.4,2.0,0.0,3249.0,1.0
8.2,3.0,0.0038898323577127784,7.8,4.0,0.0,10.0,4.0
8.2,3.0,4.183125717484322,1.4,2.0,0.0,10754.0,1.0
7.0,2.0,0.17300266595827443,11.2,4.0,0.0,521.0,2.0
6.0,1.0,0.00028462187983264233,4.1,5.0,0.0,1.0,3.0
7.1,2.0,1.1114484407464682,1.9,3.0,0.0,3300.0,2.0
7.5,2.0,0.0014231093991632117,4.9,5.0,0.0,4.0,8.0
3.0,1.0,0.0032731516180753866,3.6,4.0,0.0,23.0,3.0
8.1,3.0,4.058722237507472,1.4,4.0,0.0,10563.0,2.0
7.4,2.0,0.1811333643254936,150.0,5.0,0.0,516.0,3.0
7.8,2.0,0.22089504093811374,6.2,5.0,0.0,597.0,5.0
8.9,4.0,1.304986575334668,500.0,4.0,0.0,3091.0,3.0
7.3,2.0,0.179724486020322,150.0,4.0,0.0,519.0,1.0
8.6,4.0,0.5417682608654403,2.4,4.0,0.0,1328.0,2.0
7.9,2.0,0.03410244490194777,4.3,4.0,0.0,91.0,4.0
8.4,3.0,0.8929726857869322,3.1,5.0,0.0,2241.0,4.0
7.9,2.0,0.0801969583408442,2.2,2.0,0.0,214.0,3.0
6.0,1.0,0.007684790755481343,5.7,5.0,0.0,27.0,4.0
7.3,2.0,1.5382199747635266,13.9,4.0,0.0,4442.0,3.0
8.0,3.0,0.09032000986689184,3.7,4.0,0.0,238.0,4.0
7.3,2.0,0.007618378983520393,0.8,5.0,0.0,22.0,5.0
7.5,2.0,0.0035577734979080292,4.5,4.0,0.0,10.0,2.0
7.4,2.0,0.24993596007703767,0.6,4.0,0.0,712.0,4.0
6.0,1.0,0.00028462187983264233,4.1,4.0,0.0,1.0,3.0
8.0,3.0,0.6990313368689697,0.8,4.0,0.0,1842.0,4.0
8.4,3.0,3.6555695758185256,1.0,2.0,0.0,9174.0,2.0
8.3,3.0,1.2563826456552472,3.5,3.0,0.0,3191.0,1.0
8.5,3.0,2.925319962429912,0.8,2.0,0.0,7255.0,1.0
9.0,5.0,0.47560316120034535,3.7,2.0,0.0,1114.0,1.0
7.0,2.0,0.5196721155944328,4.1,2.0,0.0,1565.0,2.0
8.8,4.0,0.002087227118772711,400.0,4.0,0.0,5.0,4.0
5.9,1.0,0.035264650911264385,1.5,4.0,0.0,126.0,2.0
8.7,4.0,0.004952420709087977,3.0,5.0,0.0,12.0,2.0
9.5,6.0,0.02613777596463099,0.6,2.0,0.0,58.0,2.0
7.6,2.0,1.4644364961149114,5.5,2.0,0.0,4062.0,1.0
8.0,3.0,5.861692741193325,2.1,4.0,1.0,15446.0,1.0
5.8,1.0,0.0013756724191911047,2.5,3.0,0.0,5.0,2.0
7.7,2.0,0.5299991461343605,3.5,3.0,0.0,1451.0,2.0
8.5,3.0,2.2418716734817794,2.5,2.0,0.0,5560.0,2.0
7.9,2.0,3.951011830782806,4.7,2.0,0.0,10543.0,1.0
8.1,3.0,0.19596216426477425,4.2,5.0,0.0,510.0,3.0
8.5,3.0,0.255234670739922,1.9,5.0,0.0,633.0,3.0
8.7,4.0,2.844752995645285,0.8,4.0,0.0,6893.0,3.0
8.4,3.0,2.6821058224149223,10.8,1.0,0.0,6731.0,1.0
8.3,3.0,3.690402550212044,4.1,2.0,0.0,9373.0,1.0
6.7,1.0,0.12776676185687316,5.7,4.0,1.0,402.0,4.0
8.6,4.0,2.387370378452226,3.6,4.0,0.0,5852.0,2.0
8.2,3.0,0.806362247753859,2.7,4.0,0.0,2073.0,2.0
